ds,y,yhat,yhat_lower,yhat_upper,residual,resid_z,anomaly_breach,anomaly_z3,anomaly_any,severity
2019-07-14 05:00:00,1825154,1639271.985164448,1440408.2296656687,1823869.4889960163,185882.01483555208,-0.3545137566376445,1,0,1,1.0354513756637644
2019-07-14 05:05:00,1972176,1640043.3970242424,1446020.975397058,1832716.2857990914,332132.60297575756,0.6520673662576028,1,0,1,1.0652067366257603
2019-07-14 05:10:00,2033844,1640743.3057919138,1432099.5179416747,1825446.3200545015,393100.69420808624,1.0716850273817042,1,0,1,1.1071685027381704
2019-07-14 05:15:00,1844578,1641366.3912803172,1447374.7515161778,1840485.7726145734,203211.6087196828,-0.23524146998889428,1,0,1,1.0235241469988894
2019-07-14 05:20:00,1919597,1641907.7081654507,1453869.406461299,1829014.2134057814,277689.2918345493,0.2773570149384251,1,0,1,1.0277357014938424
2019-07-14 05:25:00,1868439,1642362.7246223032,1440746.2652618694,1844415.47167828,226076.27537769685,-0.07787361163070788,1,0,1,1.0077873611630708
2019-07-14 05:30:00,2030919,1642727.359324634,1446353.615572684,1840689.4996608533,388191.6406753659,1.0378980821108832,1,0,1,1.1037898082110884
2019-07-14 05:35:00,2026328,1642998.0165297473,1457305.8456862266,1841771.0113553384,383329.9834702527,1.0044373457754967,1,0,1,1.1004437345775497
2019-07-14 05:40:00,1985502,1643171.6189503504,1455406.7027054403,1847753.0596779855,342330.38104964956,0.7222543722395146,1,0,1,1.0722254372239515
2019-07-14 05:45:00,1987850,1643245.6381759315,1457544.0913262994,1842455.1562963317,344604.3618240685,0.7379052229503675,1,0,1,1.0737905222950368
2019-07-14 05:50:00,1962608,1643218.1223577904,1453745.6949474707,1831186.0198279012,319389.87764220964,0.5643645615161137,1,0,1,1.0564364561516113
2019-07-14 05:55:00,1924729,1643087.7209403275,1450754.231192645,1856369.2581603886,281641.2790596725,0.3045568764180837,1,0,1,1.0304556876418083
2019-07-14 06:00:00,1936554,1642853.706203221,1440727.088468722,1832829.1753836877,293700.2937967789,0.38755398945157277,1,0,1,1.0387553989451572
2019-07-14 06:05:00,2119706,1642515.9914131516,1452799.561264045,1851425.8974602718,477190.0085868484,1.6504363169814544,1,0,1,1.1650436316981454
2019-07-14 06:10:00,2121796,1642075.145398617,1441229.5919454624,1839261.6978508048,479720.854601383,1.6678550628174915,1,0,1,1.1667855062817492
2019-07-14 06:15:00,1964336,1641532.4033837512,1461710.0150986598,1832749.0542937464,322803.59661624883,0.5878597496164379,1,0,1,1.0587859749616437
2019-07-14 06:20:00,1898937,1640889.6739496398,1443516.6299901325,1835589.045256631,258047.32605036022,0.14216964765095105,1,0,1,1.0142169647650952
2019-07-14 06:25:00,1887754,1640149.541981235,1448078.4279533792,1832661.2245652727,247604.4580187651,0.07029579084695105,1,0,1,1.007029579084695
2019-07-14 06:30:00,1918118,1639315.267549168,1453582.152147701,1841138.0875667646,278802.7324508319,0.2850203571517262,1,0,1,1.0285020357151726
2019-07-14 06:35:00,1885771,1638390.7806279005,1444111.5448438013,1823155.4544024165,247380.2193720995,0.06875245080553682,1,0,1,1.0068752450805536
2019-07-14 06:40:00,1961292,1637380.6716279166,1437818.2809041338,1825909.1661925726,323911.3283720834,0.5954838001507559,1,0,1,1.0595483800150756
2019-07-14 06:45:00,1964681,1636290.1777349534,1455581.213553899,1843273.4738754157,328390.82226504665,0.6263142675705435,1,0,1,1.0626314267570542
2019-07-14 06:50:00,1921154,1635125.1650642739,1440126.4345978866,1815785.2047566536,286028.83493572613,0.33475457323862456,1,0,1,1.0334754573238625
2019-07-14 06:55:00,1900342,1633892.1066988108,1438767.9675503667,1830409.901491269,266449.8933011892,0.20000097459531843,1,0,1,1.0200000974595318
2019-07-14 07:00:00,1945942,1632598.0566584861,1450021.9444960596,1839233.9741687914,313343.94334151386,0.5227529453528263,1,0,1,1.0522752945352827
2019-07-14 07:05:00,2238814,1631250.6199285625,1428601.2183196782,1813669.0329225978,607563.3800714375,2.5477412532104275,1,0,1,1.2547741253210427
2019-07-14 07:10:00,1956560,1629857.918667236,1440424.9748999153,1830478.7372172398,326702.0813327639,0.614691375891867,1,0,1,1.0614691375891867
2019-07-14 07:15:00,1930717,1628428.5547513228,1433932.5723136147,1830028.5483701816,302288.44524867716,0.4466626141892652,1,0,1,1.0446662614189266
2019-07-14 07:20:00,1932503,1626971.5688548503,1450147.6478982125,1837265.4235429447,305531.43114514975,0.46898271851647255,1,0,1,1.0468982718516473
2019-07-14 07:25:00,1934907,1625496.396250463,1426308.3299013672,1817630.8790633664,309410.6037495369,0.4956814276682279,1,0,1,1.0495681427668229
2019-07-14 07:30:00,1974189,1624012.819596607,1426661.9794890091,1821716.4653277828,350176.180403393,0.7762537005425972,1,0,1,1.0776253700542597
2019-07-14 07:35:00,1944675,1622530.9189385392,1424649.9577184068,1815683.6935010059,322144.0810614608,0.5833205821768579,1,0,1,1.0583320582176858
2019-07-14 07:40:00,1958859,1621061.0192190988,1429919.8499568822,1826944.5544478328,337797.98078090115,0.6910597725463234,1,0,1,1.0691059772546323
2019-07-14 07:45:00,1941949,1619613.635593183,1423462.8655636362,1823685.4527626163,322335.3644068169,0.5846371047769253,1,0,1,1.0584637104776926
2019-07-14 07:50:00,1940267,1618199.4168507643,1428265.886619355,1821594.5232035054,322067.5831492357,0.582794079306915,1,0,1,1.0582794079306914
2019-07-14 07:55:00,2000308,1616829.0873045342,1428835.9186133163,1802994.3704877626,383478.91269546584,1.005462362827758,1,0,1,1.1005462362827758
2019-07-14 08:00:00,1984395,1615513.3874458796,1412439.724131486,1800854.2876638898,368881.61255412037,0.9049953017761576,1,0,1,1.0904995301776157
2019-07-14 08:05:00,2221394,1614263.0137674997,1425098.144529152,1810901.2913155828,607130.9862325003,2.544765268761646,1,0,1,1.2544765268761646
2019-07-14 08:10:00,2110306,1613088.558083179,1419274.1288413599,1811804.7498183954,497217.44191682106,1.788276694831201,1,0,1,1.1788276694831201
2019-07-14 08:15:00,1959233,1612000.4467350114,1402482.250928909,1799636.4347410945,347232.5532649886,0.7559939563047177,1,0,1,1.0755993956304717
2019-07-14 08:20:00,1970663,1611008.880046476,1418317.4192211656,1809887.2375110467,359654.1199535241,0.8414863615282628,1,0,1,1.0841486361528263
2019-07-14 08:25:00,1867569,1610123.772420548,1422693.4955735027,1802852.7236929454,257445.2275794521,0.13802565778638243,1,0,1,1.0138025657786383
2019-07-14 08:30:00,1889292,1609354.6934301297,1411162.0934232066,1787876.6945690182,279937.3065698703,0.2928291523522948,1,0,1,1.0292829152352294
2019-07-14 08:35:00,2004676,1608710.8102924807,1407155.7720616965,1821484.361496998,395965.18970751925,1.0914001419191137,1,0,1,1.1091400141919114
2019-07-14 08:40:00,1983030,1608200.832083686,1409191.278182268,1812394.2686948366,374829.167916314,0.9459298171930752,1,0,1,1.0945929817193076
2019-07-14 08:45:00,2024579,1607832.9560540025,1397909.9277548196,1801407.3546176858,416746.0439459975,1.234425998157291,1,0,1,1.1234425998157291
2019-07-14 08:50:00,2010018,1607614.8163838577,1412585.8697693122,1811383.262109028,402403.18361614225,1.1357101390284723,1,0,1,1.1135710139028472
2019-07-14 08:55:00,2024891,1607553.435728129,1416381.5352673463,1786213.3304095068,417337.564271871,1.2384971831104914,1,0,1,1.1238497183110492
2019-07-14 09:00:00,2019081,1607655.1798421985,1417915.6824721722,1820170.539453159,411425.8201578015,1.1978091414124659,1,0,1,1.1197809141412467
2019-07-14 09:05:00,2314121,1607925.7156080864,1414315.1893970731,1813693.521792946,706195.2843919136,3.2265830566295293,1,1,1,1.8226583056629528
2019-07-14 09:10:00,2137750,1608369.9727333921,1411731.5679122703,1807972.8683664815,529380.0272666079,2.009638206523493,1,0,1,1.2009638206523494
2019-07-14 09:15:00,2017494,1608992.1093787677,1410010.3641144503,1792999.614294939,408501.89062123233,1.1776849674613508,1,0,1,1.117768496746135
2019-07-14 09:20:00,2052495,1609795.4819480174,1422029.420610075,1805346.532307755,442699.5180519826,1.4130528156001771,1,0,1,1.1413052815600178
2019-07-14 09:25:00,1984951,1610782.6192484398,1421833.9484616918,1812874.8205639343,374168.3807515602,0.9413818977983514,1,0,1,1.0941381897798352
2019-07-14 09:30:00,1966059,1611955.2012107838,1406137.2373228157,1796751.2042896524,354103.7987892162,0.8032858415779269,1,0,1,1.0803285841577928
2019-07-14 09:35:00,1992391,1613314.0422996879,1411088.191936006,1810643.2164562093,379076.95770031214,0.9751655629426978,1,0,1,1.0975165562942697
2019-07-14 09:40:00,1999125,1614859.0797692002,1423903.496198913,1811525.2587779858,384265.9202307998,1.0108790038048463,1,0,1,1.1010879003804845
2019-07-14 09:45:00,1995549,1616589.366829523,1428588.1806145895,1815224.2783404083,378959.6331704771,0.9743580676807213,1,0,1,1.097435806768072
2019-07-14 09:50:00,1882660,1618503.070801505,1418000.183657886,1813102.9672100919,264156.9291984951,0.184219469641399,1,0,1,1.0184219469641398
2019-07-14 09:55:00,1963514,1620597.4762932335,1438990.5165725653,1820071.607025374,342916.52370676654,0.7262885449664783,1,0,1,1.0726288544966478
2019-07-14 10:00:00,1910163,1622868.9933778413,1415717.3123046171,1821693.4108968233,287294.0066221587,0.343462216421322,1,0,1,1.0343462216421322
2019-07-14 10:05:00,2377128,1625313.1707641305,1438485.3148070148,1815502.7198190936,751814.8292358695,3.5405631455914794,1,1,1,1.854056314559148
2019-07-14 10:10:00,1991459,1627924.7138780665,1419857.7563467189,1831299.0176754852,363534.2861219335,0.8681919089621878,1,0,1,1.0868191908962188
2019-07-14 10:15:00,2016414,1630697.5077825612,1427174.4509450938,1826154.2124328732,385716.49221743876,1.020862679068782,1,0,1,1.1020862679068781
2019-07-14 10:20:00,1985091,1633624.6447565742,1429789.2045963383,1818780.3651043507,351466.3552434258,0.7851334298874559,1,0,1,1.0785133429887457
2019-07-14 10:25:00,1846465,1636698.4564524558,1432376.0297503364,1836005.0670552114,209766.54354754416,-0.19012661784752363,1,0,1,1.0190126617847524
2019-07-14 10:30:00,1811598,1639910.5503786549,1438246.7852850202,1833161.542571454,171687.44962134515,-0.45220896302292635,0,0,0,0.04522089630229264
2019-07-14 10:35:00,1856160,1643251.8505282602,1444465.8986999923,1855545.2941101165,212908.14947173977,-0.16850426911659336,1,0,1,1.0168504269116594
2019-07-14 10:40:00,1893471,1646712.6419169956,1444998.987573546,1852247.7006443767,246758.35808300436,0.06447244179755675,1,0,1,1.0064472441797556
